2025-09-10 14:04:23.537 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-09-10 14:04:23.755 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@4038cd3a
2025-09-10 14:04:23.756 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-09-10 14:04:24.394 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: post /user/signup. Renamed to auto-generated operationId: userSignupPost
2025-09-10 14:04:24.409 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: post /user/login. Renamed to auto-generated operationId: userLoginPost
2025-09-10 14:04:24.418 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: post /user/logout. Renamed to auto-generated operationId: userLogoutPost
2025-09-10 14:04:24.419 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: get /user/info. Renamed to auto-generated operationId: userInfoGet
2025-09-10 14:04:24.421 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: put /user/info. Renamed to auto-generated operationId: userInfoPut
2025-09-10 14:04:24.424 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: put /user/change-password. Renamed to auto-generated operationId: userChange_passwordPut
2025-09-10 14:04:24.426 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: get /user/users. Renamed to auto-generated operationId: userUsersGet
2025-09-10 14:04:24.429 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: post /user/create. Renamed to auto-generated operationId: userCreatePost
2025-09-10 14:04:24.432 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: delete /user/{userId}. Renamed to auto-generated operationId: userUserIdDelete
2025-09-10 14:04:24.435 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: put /user/{userId}/reset-password. Renamed to auto-generated operationId: userUserIdReset_passwordPut
2025-09-10 14:04:24.437 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: get /user/users/{username}. Renamed to auto-generated operationId: userUsersUsernameGet
2025-09-10 14:04:24.439 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: get /messages. Renamed to auto-generated operationId: messagesGet
2025-09-10 14:04:24.441 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: post /messages. Renamed to auto-generated operationId: messagesPost
2025-09-10 14:04:24.443 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: get /messages/unread-count. Renamed to auto-generated operationId: messagesUnread_countGet
2025-09-10 14:04:24.444 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: put /messages/{id}/read. Renamed to auto-generated operationId: messagesIdReadPut
2025-09-10 14:04:24.445 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: put /messages/read-all. Renamed to auto-generated operationId: messagesRead_allPut
2025-09-10 14:04:24.446 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: delete /messages/{id}. Renamed to auto-generated operationId: messagesIdDelete
2025-09-10 14:04:24.446 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: get /. Renamed to auto-generated operationId: rootGet
2025-09-10 14:04:24.912 [main] INFO  i.s.codegen.v3.AbstractGenerator - writing file docs/index.html
2025-09-10 14:04:24.921 [main] INFO  i.s.codegen.v3.AbstractGenerator - writing file docs/.swagger-codegen/VERSION
2025-09-10 14:04:24.939 [main] INFO  Application - Application started in 1.653 seconds.
2025-09-10 14:04:25.024 [main] INFO  Application - Responding at http://0.0.0.0:8080
2025-09-10 21:07:07.194 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-09-10 21:07:07.492 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@6601cc93
2025-09-10 21:07:07.494 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-09-10 21:07:08.073 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: post /user/signup. Renamed to auto-generated operationId: userSignupPost
2025-09-10 21:07:08.090 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: post /user/login. Renamed to auto-generated operationId: userLoginPost
2025-09-10 21:07:08.096 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: post /user/logout. Renamed to auto-generated operationId: userLogoutPost
2025-09-10 21:07:08.097 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: get /user/info. Renamed to auto-generated operationId: userInfoGet
2025-09-10 21:07:08.099 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: put /user/info. Renamed to auto-generated operationId: userInfoPut
2025-09-10 21:07:08.102 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: put /user/change-password. Renamed to auto-generated operationId: userChange_passwordPut
2025-09-10 21:07:08.103 [main] WARN  i.s.c.v.g.DefaultCodegenConfig - Empty operationId found for path: get /user/users. Renamed to auto-generated operationId: userUsersGet
